1,Cata Post-setas 2025,Garaje Tere,2025-11-08,
2,Cata fiestas 2021,Dominios de Jorge,2021-08-21,
3,Cata Fiestas 2024,,2024-08-20,
4,Cata Fiestas 2022,,2022-08-21,
5,No se que cojones fue esta cata,,2024-05-19,
6,Cata Dublín 2025,Casa Ori Dublín,2025-10-10,
7,Cata Pre-sesion Los Sanches,,2025-08-23,
8,Poscata?,,2021-09-04,
9,Cata Post-interrail 2025,Casa Jorge y Nuria Barcelona,2025-10-25,
10,Cata Oficial Rondadora,Bar Estiche,2024-04-27,
11,Cata Navideña Trajeada 2023,Garaje Tere,2023-01-06,
12,Cata veraniega 2021,Plaza Bar,2021-07-23,
