1,Vikingathor – Indian Dunkel Tostada,Sanfrutos,Indian Dunkel,8.2,España,8437013858298,,,0,
2,La pimentée – Biperra,Etxe Peio,,4.5,Francia,,,,0,
3,Chinchana Rubia,Chinchana,Pilsen Rubia,5.4,España,,,,0,
4,Monte Perdido,Pyrene Brewing,American IPA,5.4,España,,,,0,
5,Xarale•lo Grapeale,,,5.5,España,,,,0,
6,Bixkotx blonde,Etxeko Bob’s Beer,Golden Ale,6,Francia,,,,0,
7,Veïna,Andrain-Jandrenouille,Rubia IPA,6.5,España,,,,0,
8,Quebrantahuesos Barbatus,Rondadora,BJCP Wee Heavy,7.5,España,,,,0,
9,Moinette – Ambrée,Dupont,Biere de Garde,8.5,Bélgica,5410702001383,,,0,
10,Oro Negro,Sanfrutos,Imperial Stout,9.1,España,,,,0,
11,Wheatwine,Rondadora,Wheatwine,10.5,España,,,,0,
12,Redwine,Rondadora,Redwine,10.5,España,,,,0,
13,Duvel Barred Aged – The Rum Edition (Batch 5),Duvel,Rubia,12,Bélgica,,,,0,
14,Delirium – Barrel Aged Black,Huyghe,Quadrupel,11.5,Bélgica,,5412186005574,,0,
15,Peroni Gran Riserva – Doppio Malto,Peroni,Lager Bock,6.6,Italia,8008440219589,,,0,
16,Gulden Draak – Brewmaster,Brouwerij Van Steenberge,,10.5,Belgica,5411663003027,,,0,
17,Gulden Draak – Imperial Stout,Brouwerij Van Steenberge,,12,Belgica,5411663009128,,,0,
18,Sixena,Sixena,,5.3,España,,,,0,
19,Jaquesa,Pirineos Bier,,5.5,España,,,,0,
20,Pirineos Bier – Pale Ale,Pirineos Bier,,5.5,España,,,,0,
21,Pirineos Bier  - Blond Ale,Pirineos Bier,Pilsen Blond ALE,5.5,España,,,,0,
22,Pirineos Bier  - Trigo,Pirineos Bier,,5,España,,,,0,
23,Nieu IPA,Pirineos Bier,IPA,5.5,España,,,,0,
24,Pirineos Bier – Negra,Pirineos Bier,Stout,5.5,España,,,,0,
25,Cannabis -  Red Power,Ganter,Lager Bock,7.5,Alemania,,7640124440042,,0,
26,Ambiciosas – Ambar Avena,La zaragozana,Ale,6.4,España,,,,0,
27,Cerdos Voladores – IPA,Barcelona Beer Company,IPA,6,España,,,,0,
28,Rondadora – IPA,Rondadora,IPA,7,España,8437010864759,,,0,
29,Duvel Barred Aged – Bourbon (Batch 3),Duvel,,11.5,Bélgica,,,,0,
30,Añeja,Alejandro,,,Estiche,,,,0,
31,Abnormal Simply Different – Maple Mornings,Abnormal Beer Co.,Imperial Stout,12.5,Estados Unidos,,,,0,
32,Tripel Karmeliet,Bosteels,Rubia,8.4,Bélgica,,,,0,1
33,Patriot APA,Lidl,APA,5.5,España,20948023,,,0,
34,Funky Garden Vol. 6 - Mexican Hot Chocolate,Funky Fluid / Maltgarden,Imperial Stout,11.5,Polonia,,,,0,
35,Necessary Evil,Thornbridge,Stout,13,Reino Unido,5013414555054,,,0,
36,Hatherwood – The Ginger Grizzly, Marston’s brewery,Ginger ,4,Reino Unido,20718572,,,0,1
37,St Bernardus Tripel,St. Bernardus,Tripel,8,Bélgica,54079038,,,0,
